"","sci_subshed","max_overall_score","overall_percent","overall_grade","index","image_file"
"1","Battery Kemble Creek",150,71.4401228196407,"C","Overall","template_files/graphic_pieces/Overall_C.png"
"2","Broad Branch",150,64.110937630311,"D","Overall","template_files/graphic_pieces/Overall_D.png"
"3","Dalecarlia Tributary",150,50.8258561158957,"F","Overall","template_files/graphic_pieces/Overall_F.png"
"4","Dumbarton Oaks",150,67.5725437568566,"D","Overall","template_files/graphic_pieces/Overall_D.png"
"5","Fenwick Branch",150,68.3024257639192,"D","Overall","template_files/graphic_pieces/Overall_D.png"
"6","Fort Chaplin Tributary",150,51.2222400660678,"F","Overall","template_files/graphic_pieces/Overall_F.png"
"7","Fort Davis Tributary",150,43.1836901263337,"F","Overall","template_files/graphic_pieces/Overall_F.png"
"8","Fort Dupont Tributary",150,52.4747361627401,"F","Overall","template_files/graphic_pieces/Overall_F.png"
"9","Fort Stanton Tributary",150,53.3436275699598,"F","Overall","template_files/graphic_pieces/Overall_F.png"
"10","Foundry Branch",140,58.3382801478773,"F","Overall","template_files/graphic_pieces/Overall_F.png"
"11","Hickey Run",150,61.8866806494951,"D","Overall","template_files/graphic_pieces/Overall_D.png"
"12","Klingle Valley Run",150,67.5356519365508,"D","Overall","template_files/graphic_pieces/Overall_D.png"
"13","Luzon Branch",150,53.3790373430445,"F","Overall","template_files/graphic_pieces/Overall_F.png"
"14","Nash Run",150,67.8853654069104,"D","Overall","template_files/graphic_pieces/Overall_D.png"
"15","Normanstone Creek",150,60.983548477427,"D","Overall","template_files/graphic_pieces/Overall_D.png"
"16","Oxon Run",150,56.5280214961161,"F","Overall","template_files/graphic_pieces/Overall_F.png"
"17","Pinehurst Branch",150,68.3849721306962,"D","Overall","template_files/graphic_pieces/Overall_D.png"
"18","Piney Branch",150,65.2625187183429,"D","Overall","template_files/graphic_pieces/Overall_D.png"
"19","Pope Branch",150,66.4839107604755,"D","Overall","template_files/graphic_pieces/Overall_D.png"
"20","Portal Branch",150,61.3676517914127,"D","Overall","template_files/graphic_pieces/Overall_D.png"
"21","Reservation 630",150,70.0123609666392,"C","Overall","template_files/graphic_pieces/Overall_C.png"
"22","Rock Creek",150,65.7353027162293,"D","Overall","template_files/graphic_pieces/Overall_D.png"
"23","Soapstone Creek",150,62.2882499157564,"D","Overall","template_files/graphic_pieces/Overall_D.png"
"24","Texas Avenue Tributary",150,54.8627047835973,"F","Overall","template_files/graphic_pieces/Overall_F.png"
"25","Watts Branch",150,54.0648312231335,"F","Overall","template_files/graphic_pieces/Overall_F.png"
